Time,Real Time,Complex A,Complex B,Ratio A,Ratio B,Exe A,Exe B,PR A,PR B
0,0,4,11,0.075,0.063636364,0.540983607,0.459016393,0.620791515,0.379208485
1,20,4,11,0.1,0.07,0.588235294,0.411764706,0.744601638,0.255398362
2,40,4,11,0.15,0.077777778,0.658536585,0.341463415,0.877647478,0.122352522
3,60,4,11,0.3,0.0875,0.774193548,0.225806452,0.975788805,0.024211195
4,80,4,11,0.3,0.1,0.75,0.25,0.964285714,0.035714286
5,100,4,11,0.3,0.116666667,0.72,0.28,0.944453441,0.055546559
6,120,4,11,0.3,0.14,0.681818182,0.318181818,0.9077461,0.0922539
7,140,4,11,0.3,0.175,0.631578947,0.368421053,0.834379527,0.165620473
8,160,4,11,0.3,0.233333333,0.5625,0.4375,0.680037313,0.319962687
9,180,4,11,0.3,0.35,0.461538462,0.538461538,0.386404293,0.613595707
10,200,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
11,220,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
12,240,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
13,260,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
14,280,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
15,300,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
16,320,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
17,340,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
18,360,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
19,380,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027
20,400,4,11,0.3,0.7,0.3,0.7,0.072972973,0.927027027