Time,Complex A,Complex B,Complex C,Ratio A,Ratio B,Ratio C,Exe A,Exe B,Exe C,PR A,PR B,PR C
10,4,9,30,0.07500000000000001,0.07222222222222223,0.030000000000000002,0.4231974921630094,0.4075235109717868,0.16927899686520376,0.4965587674674105,0.44827636417696465,0.05516486835562476
20,4,9,30,0.10000000000000002,0.08125,0.03103448275862069,0.47106598984771575,0.382741116751269,0.1461928934010152,0.6152484549813984,0.34804180723592415,0.03670973778267758
30,4,9,30,0.15000000000000002,0.09285714285714286,0.03214285714285715,0.5454545454545455,0.33766233766233766,0.1168831168831169,0.7772251031855223,0.20440560603540808,0.01836929077906959
40,4,9,30,0.30000000000000004,0.10833333333333334,0.03333333333333333,0.679245283018868,0.2452830188679245,0.07547169811320754,0.9436599887733825,0.052298131708061864,0.004041879518555681
50,4,9,30,0.30000000000000004,0.13,0.03461538461538462,0.6456953642384107,0.27980132450331124,0.07450331125827814,0.911182623733275,0.08417325867161587,0.0046441175951093105
60,4,9,30,0.30000000000000004,0.1625,0.036000000000000004,0.6018054162487463,0.32597793380140416,0.07221664994984955,0.847806089017044,0.14695419438869387,0.0052397165942623105
70,4,9,30,0.30000000000000004,0.21666666666666667,0.0375,0.5413533834586467,0.39097744360902253,0.06766917293233082,0.7140306587480189,0.28048095035182613,0.005488390900154881
80,4,9,30,0.30000000000000004,0.325,0.0391304347826087,0.4517184942716858,0.4893617021276596,0.05891980360065467,0.4405209937441343,0.5551125369663495,0.0043664692895161155
90,4,9,30,0.30000000000000004,0.65,0.04090909090909091,0.30275229357798167,0.6559633027522935,0.041284403669724766,0.09498843180091218,0.9037269763340117,0.0012845918650761972
100,4,9,30,0.30000000000000004,0.65,0.04285714285714286,0.30215827338129503,0.6546762589928058,0.04316546762589928,0.09522382106068697,0.9033588533841671,0.0014173255551460232
110,4,9,30,0.30000000000000004,0.65,0.045,0.30150753768844224,0.6532663316582914,0.045226130653266326,0.09548011603621871,0.9029482310011324,0.0015716529626488103
120,4,9,30,0.30000000000000004,0.65,0.04736842105263158,0.3007915567282322,0.6517150395778364,0.047493403693931395,0.09576018132907671,0.9024873149879417,0.0017525036829816217
130,4,9,30,0.30000000000000004,0.65,0.05,0.30000000000000004,0.65,0.05,0.0960674157303371,0.9019662921348315,0.0019662921348314612
140,4,9,30,0.30000000000000004,0.65,0.052941176470588235,0.29912023460410564,0.6480938416422287,0.05278592375366569,0.09640587732354661,0.9013726367998537,0.002221485876599662
150,4,9,30,0.30000000000000004,0.65,0.05625,0.2981366459627329,0.6459627329192547,0.05590062111801242,0.09678044265401543,0.9006901137250158,0.00252944362096869
160,4,9,30,0.30000000000000004,0.65,0.060000000000000005,0.29702970297029707,0.6435643564356436,0.05940594059405941,0.09719700940148969,0.8998973115806131,0.002905679017897165
170,4,9,30,0.30000000000000004,0.65,0.0642857142857143,0.29577464788732394,0.6408450704225351,0.06338028169014084,0.09766275338036105,0.8989654314423209,0.003371815177317974
180,4,9,30,0.30000000000000004,0.65,0.06923076923076923,0.2943396226415094,0.6377358490566037,0.06792452830188679,0.09818645001025109,0.8978548552297351,0.003958694760013716
190,4,9,30,0.30000000000000004,0.65,0.075,0.2926829268292683,0.6341463414634145,0.07317073170731705,0.09877886315252361,0.8965096450194777,0.004711491827998657
200,4,9,30,0.30000000000000004,0.65,0.08181818181818182,0.2907488986784141,0.6299559471365638,0.07929515418502202,0.09945317833521151,0.8948483893263125,0.005698432338476074
210,4,9,30,0.30000000000000004,0.65,0.09,0.2884615384615385,0.625,0.08653846153846154,0.10022538011403423,0.8927482932379713,0.007026326647994398
220,4,9,30,0.30000000000000004,0.65,0.1,0.28571428571428575,0.6190476190476191,0.09523809523809523,0.10111425245301849,0.8900160762791728,0.008869671267808635
230,4,9,30,0.30000000000000004,0.65,0.1125,0.28235294117647064,0.611764705882353,0.10588235294117647,0.10214004336296673,0.8863314032229155,0.011528553414117744
240,4,9,30,0.30000000000000004,0.65,0.1285714285714286,0.2781456953642384,0.6026490066225165,0.11920529801324503,0.10331891211807125,0.8811285556143473,0.015552532267581387
250,4,9,30,0.30000000000000004,0.65,0.15,0.27272727272727276,0.5909090909090908,0.13636363636363635,0.1046440470524241,0.8733256272523288,0.022030325695247162
260,4,9,30,0.30000000000000004,0.65,0.18,0.26548672566371684,0.5752212389380531,0.15929203539823006,0.10602201698052138,0.8606312686260262,0.033346714393452395
270,4,9,30,0.30000000000000004,0.65,0.225,0.25531914893617025,0.5531914893617021,0.19148936170212766,0.10704155554541248,0.8375010595914215,0.05545738486316599
280,4,9,30,0.30000000000000004,0.65,0.3,0.24000000000000005,0.52,0.24,0.10601226993865034,0.7879754601226994,0.1060122699386503
290,4,9,30,0.30000000000000004,0.65,0.45,0.2142857142857143,0.46428571428571425,0.3214285714285714,0.09532481046528915,0.6563289727961944,0.24834621673851637
300,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
310,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
320,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
330,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
340,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
350,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
360,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
370,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
380,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
390,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
400,4,9,30,0.30000000000000004,0.65,0.9,0.16216216216216217,0.35135135135135137,0.48648648648648646,0.04598151888026488,0.27881617756216165,0.6752023035575735
